Smiles,Score
C1CCC2C(C1)CCC1C2CC(C2CCCN2)C2CCCC21,0
CNC(=O)C1CC2OCC1OC1CCC(CO1)OC1CCC(CO1)OC1CCC(CO1)OC1CCC(CO1)OC1CCC(CO1)O2,0
c1nc(C2OC3CCC2OC2CCC(CO2)OC2CCC(CO2)OC2CCC(CO2)OC2CCC(CO2)OC2CCC(CO2)OC2CCC(CO2)O3)no1,0
O=C1C=CC(C2C3CCC=C(CC(=O)C4CCC5OCC5C42)C3)N1,0
O=C1Cc2c3nc(cc4ccc(cc5nc(cc6cc1c2[nH]6)C=C5)[nH]4)CC3c1cncs1,0
O=C1OC2C3=CCCC3CCCC2C1C1CCC2OC2C1,0
O=C1C=C(c2ccc3c(c2)C2CCC4CCCC4C2CC3)CCC1,6.206473351
C[SH+]C1CC2CCC3c4ccccc4CCC3C2C1,0
O=[PH]1OCC2OCC(C3CC4C=CC3O4)C2O[PH](=O)OCC2OCCC2O1,0
O=c1ccnc(-c2nc3[nH]c(=O)[nH]c(=O)c3[nH]2)[nH]1,8.014698029
C[SH+][NH3+],0
CC[NH2+]C,0
C=C(O)C1=CC(=O)NC1=C,0
C=N[n+]1c[nH]c2nc[nH]c(=O)c21,0
O=C1c2ccccc2C(=O)N1c1ccc2ccccc2c1,8.966486931
O=c1[nH]cccc1-c1ccon1,8.708125114
CCc1cccnn1,8.9599967
[NH3+]c1c[nH]c2nc[nH]c(=O)c12,0
[N-]=[N+]=Nc1csc[nH+]1,0
c1nc(-c2nncs2)c[nH]1,8.037792683
c1nc(-c2ccc3[nH]ncc3c2)c2nc[nH]c2n1,8.95616889
c1ccc2sc(-n3ccnn3)nc2c1,6.650503635
c1ccc2nc(-c3nnco3)ccc2c1,8.520738363
c1ccc(-c2ncnc3[nH]ncc23)nc1,8.974486351
c1cnc2cc(-c3cnc4ccccc4n3)ccc2c1,8.935393333
Brc1ccn[nH]1,9.816731334
CNC(=O)c1ccc2nc[nH]c(=O)c2c1,8.299607754
c1cnc(C2CCSSC2)cn1,6.644152641
O=CNS(=O)(=O)C1CCCOC1,0
C=C1NC(=O)C=C1c1ncn[nH]1,0
O=C(N[SH](=O)=O)N1CCc2ccccc2C1,0
O=c1[nH]c(-c2ccc3cc[nH]c3c2)nc2[nH]cnc12,8.04602623
CC(=O)NC1COC2CO[PH](=O)OC12,0
c1ccc(C2CCCCO2)[nH+]c1,0
c1ccc(C2OCCO2)cc1,8.926824093
O=c1ccnc(-c2ncnc3sccc23)[nH]1,6.415362358
c1ccc2nc(-c3cnon3)ccc2c1,7.06534791
C=C1C=C(C2C=CCCC2)C(=O)N1,0
FC1CC=COC1,0
O=C1Nc2ccccc2C1=CC1CC=COC1,0
C=CC=C1CCCCC1,8.946518421
NNC(=O)c1cnc2c(=O)nc[nH]c2n1,0
C=C1CCC(c2coc3ccccc3c2=O)CC1,7.455597162
O=C1Cc2c3nc(cc4ccc(cc5nc(cc6cc1c2[nH]6)C=C5)[nH]4)CC3n1ccc2ccccc21,0
O=C1Cc2c3nc(cc4[nH]c(cc5nc(cc6cc1c2[nH]6)C=C5)cc4-c1cc2cc4nc(cc5cc6c([nH]5)c(c5nc(cc1[nH]2)CC5)CC6=O)CC4)CC3,0
O=C1CC2=CCCC(CC3C1CCC1OCC13)C2C1CCNC1,0
O=c1ccn(C2C=COCC2)c(=O)[nH]1,0
O=C1Cc2c3nc(cc4cc(Br)c(cc5nc(cc6cc1c2[nH]6)CC5)[nH]4)CC3,0
O=C1Cc2c3nc(cc4ccc(cc5nc(cc6cc1c2[nH]6)CC5)[nH]4)C(N1CCNCC1)C3,0
C1=COC(C23CCCC2C2CCc4ccccc4C2CC3)CC1,0
O=c1ccoc2cccc(C=C3CCC4C3CCC3C5CCCCC5CCC43)c12,0
O=C1Cc2c3nc(cc4ccc(cc5nc(cc6[nH]c2c1c6-c1cnc[nH]c1=O)C=C5)[nH]4)CC3,0
C1CC(C23CC4CC(CC(C4)C2)C3)CN1,7.404737473
N=C(N)c1c2c3[nH]c1cc1nc(cc4ccc(cc5nc(c3CC2=O)CC5)[nH]4)CC1,0
CNC1Cc2cc3ccc(cc4nc(cc5cc6c([nH]5)c(c1n2)CC6=O)C=C4)[nH]3,0
C=C1CCCC2C1CCC2c1cnc2[nH]cnc(=O)c2n1,0
c1cc(C2CC3OCC2OC2CCC(CO2)OC2CCC(CO2)OC2CCC(CO2)OC2CCC(CO2)OC2CCC(CO2)O3)c2[nH]ccc2c1,0
C1=C2CCCCC2(C2CCCc3ccccc32)C2CCC3CCCC3C2C1,0
C=C1CCC(=C)C(c2ccc[nH+]c2)C1,0
N=CC1CC2OCC1OC1CCC(CO1)OC1CCC(CO1)OC1CCC(CO1)OC1CCC(CO1)OC1CCC(CO1)OC1CCC(CO1)O2,0
c1ccc2c(C3CC4OCC3OC3CCC(CO3)OC3CCC(CO3)OC3CCC(CO3)OC3CCC(CO3)OC3CCC(CO3)OC3CCC(CO3)O4)n[nH]c2c1,0
C=c1cc2n3c1=Cc1ccc4n1[Fe]31n3c(cc(=CN5CCNCC5)c3=C2)C=c2ccc(n21)=C4,0
O=C1CC2=CCCC(CC3C1CCC1OCC13)C2c1cc2cc3nc(cc4ccc(cc5nc(cc1[nH]2)C=C5)[nH]4)C=C3,0
O=CNS(=O)(=O)C1CC1,0
OC(O)Cl,0
O=C1CC2=CCCC(CC3C1CCC1OCC13)C2n1c(=O)c(=O)[nH]c2ccccc21,0
O=c1c(C2C=C3C=c4ccc5n4[Fe]46N7C(=CCC7=Cc7ccc(n74)C=5)C=C2N36)coc2ccccc12,0
O=C1Cc2c3nc(cc4ccc(cc5nc(cc6[nH]c2c1c6-c1ccc2occc(=O)c2c1)C=C5)[nH]4)CC3,0
CSc1csc[nH+]1,0
NC(N)=[NH2+],0
CC(NC=O)[n+]1ccccc1,0
FC(F)(F)c1ncccn1,9.467367887
